iso_code,location,date,people_fully_vaccinated_per_hundred
OWID_AFR,Africa,20/7/2020,
OWID_AFR,Africa,21/7/2020,
OWID_AFR,Africa,22/7/2020,
OWID_AFR,Africa,23/7/2020,
OWID_AFR,Africa,24/7/2020,
OWID_AFR,Africa,25/7/2020,
OWID_AFR,Africa,26/7/2020,
OWID_AFR,Africa,27/7/2020,
OWID_AFR,Africa,28/7/2020,
OWID_AFR,Africa,29/7/2020,
OWID_AFR,Africa,30/7/2020,
OWID_AFR,Africa,31/7/2020,
OWID_AFR,Africa,1/8/2020,
OWID_AFR,Africa,2/8/2020,
OWID_AFR,Africa,3/8/2020,
OWID_AFR,Africa,4/8/2020,
OWID_AFR,Africa,5/8/2020,
OWID_AFR,Africa,6/8/2020,
OWID_AFR,Africa,7/8/2020,
OWID_AFR,Africa,8/8/2020,
OWID_AFR,Africa,9/8/2020,
OWID_AFR,Africa,10/8/2020,
OWID_AFR,Africa,11/8/2020,
OWID_AFR,Africa,12/8/2020,
OWID_AFR,Africa,13/8/2020,
OWID_AFR,Africa,14/8/2020,
OWID_AFR,Africa,15/8/2020,
OWID_AFR,Africa,16/8/2020,
OWID_AFR,Africa,17/8/2020,
OWID_AFR,Africa,18/8/2020,
OWID_AFR,Africa,19/8/2020,
OWID_AFR,Africa,20/8/2020,
OWID_AFR,Africa,21/8/2020,
OWID_AFR,Africa,22/8/2020,
OWID_AFR,Africa,23/8/2020,
OWID_AFR,Africa,24/8/2020,
OWID_AFR,Africa,25/8/2020,
OWID_AFR,Africa,26/8/2020,
OWID_AFR,Africa,27/8/2020,
OWID_AFR,Africa,28/8/2020,
OWID_AFR,Africa,29/8/2020,
OWID_AFR,Africa,30/8/2020,
OWID_AFR,Africa,31/8/2020,
OWID_AFR,Africa,1/9/2020,
OWID_AFR,Africa,2/9/2020,
OWID_AFR,Africa,3/9/2020,
OWID_AFR,Africa,4/9/2020,
OWID_AFR,Africa,5/9/2020,
OWID_AFR,Africa,6/9/2020,
OWID_AFR,Africa,7/9/2020,
OWID_AFR,Africa,8/9/2020,
OWID_AFR,Africa,9/9/2020,
OWID_AFR,Africa,10/9/2020,
OWID_AFR,Africa,11/9/2020,
OWID_AFR,Africa,12/9/2020,
OWID_AFR,Africa,13/9/2020,
OWID_AFR,Africa,14/9/2020,
OWID_AFR,Africa,15/9/2020,
OWID_AFR,Africa,16/9/2020,
OWID_AFR,Africa,17/9/2020,
OWID_AFR,Africa,18/9/2020,
OWID_AFR,Africa,19/9/2020,
OWID_AFR,Africa,20/9/2020,
OWID_AFR,Africa,21/9/2020,
OWID_AFR,Africa,22/9/2020,
OWID_AFR,Africa,23/9/2020,
OWID_AFR,Africa,24/9/2020,
OWID_AFR,Africa,25/9/2020,
OWID_AFR,Africa,26/9/2020,
OWID_AFR,Africa,27/9/2020,
OWID_AFR,Africa,28/9/2020,
OWID_AFR,Africa,29/9/2020,
OWID_AFR,Africa,30/9/2020,
OWID_AFR,Africa,1/10/2020,
OWID_AFR,Africa,2/10/2020,
OWID_AFR,Africa,3/10/2020,
OWID_AFR,Africa,4/10/2020,
OWID_AFR,Africa,5/10/2020,
OWID_AFR,Africa,6/10/2020,
OWID_AFR,Africa,7/10/2020,
OWID_AFR,Africa,8/10/2020,
OWID_AFR,Africa,9/10/2020,
OWID_AFR,Africa,10/10/2020,
OWID_AFR,Africa,11/10/2020,
OWID_AFR,Africa,12/10/2020,
OWID_AFR,Africa,13/10/2020,
OWID_AFR,Africa,14/10/2020,
OWID_AFR,Africa,15/10/2020,
OWID_AFR,Africa,16/10/2020,
OWID_AFR,Africa,17/10/2020,
OWID_AFR,Africa,18/10/2020,
OWID_AFR,Africa,19/10/2020,
OWID_AFR,Africa,20/10/2020,
OWID_AFR,Africa,21/10/2020,
OWID_AFR,Africa,22/10/2020,
OWID_AFR,Africa,23/10/2020,
OWID_AFR,Africa,24/10/2020,
OWID_AFR,Africa,25/10/2020,
OWID_AFR,Africa,26/10/2020,
OWID_AFR,Africa,27/10/2020,
OWID_AFR,Africa,28/10/2020,
OWID_AFR,Africa,29/10/2020,
OWID_AFR,Africa,30/10/2020,
OWID_AFR,Africa,31/10/2020,
OWID_AFR,Africa,1/11/2020,
OWID_AFR,Africa,2/11/2020,
OWID_AFR,Africa,3/11/2020,
OWID_AFR,Africa,4/11/2020,
OWID_AFR,Africa,5/11/2020,
